name,screen_name,party,total_tweets,covid_tweets
"Heidenblut, Dirk",DHeidenblut,SPD,5,0
"Hoffmann, Dr. Christoph",HoffmannForest,FDP,1554,441
"Tillmann, Antje",AntjeTillmann,CDU,137,14
"Westphal, Bernd",BerndWestphal4,SPD,42,1
"Maag, Karin",MaagKarin,CDU,65,7
"Ryglewski, Sarah",RyglewskiS,SPD,81,15
"Hennrich, Michael",MichaelHennric2,CDU,15,0
"Motschmann, Elisabeth",ElisabethMotsc1,CDU,80,13
"Stegemann, Albert",StegemannAlbert,CDU,17,2
"Mackensen, Isabel",IsabelMackensen,SPD,51,0
"Heidt, Peter",PeterHeidtFDP,FDP,179,31
"Connemann, Gitta",gitta_connemann,CDU,149,37
"Fahimi, Yasmin",FahimiYasmin,SPD,134,2
"Gnodtke, Eckhard",EckhardGnodtke,CDU,71,5
"Patzelt, Martin",MPatzeltCDU,CDU,56,9
"Kulitz, Alexander",AKulitz,FDP,47,10
"Rützel, Bernd",ruetzelbernd,SPD,0,0
